YearMonth,MW
2021-06-15,133.5664060348319
2021-07-15,171.1823089237711
2021-08-15,148.39715980222735
2021-09-15,141.1137156084656
2021-10-15,78.41956679067461
2021-11-15,35.55759967376374
2021-12-15,16.468750826719578
2022-01-15,28.47613152841782
2022-02-15,70.40331885097788
2022-03-15,160.89610456349206
2022-04-15,210.9977039434524
2022-05-15,253.80859158986175
2022-06-15,258.5028271577381
2022-07-15,267.6266922043011
2022-08-15,245.70822050211214
2022-09-15,160.93555334821428
2022-10-15,122.21770742127497
2022-11-15,58.90784235851409
2022-12-15,28.180015255881642
2023-01-15,36.00765309240844
2023-02-15,102.11452819548872
2023-03-15,135.45692556390978
2023-04-15,230.2168379197995
2023-05-15,298.3306791656561
2023-06-15,359.9443138818027
2023-07-15,257.96023533506144
2023-08-15,244.24400783410138
2023-09-15,236.05586578947367
2023-10-15,127.77926153286441
2023-11-15,58.39554493734335
2023-12-15,31.699200727625517
2024-01-15,67.26916521190961
2024-02-15,69.22064109967361
