Date,Wind,Zon
2022-07-09,,279.8604025297619
2022-07-10,,272.37740848214287
2022-07-11,,286.3460111607143
2022-07-12,,300.6791674107143
2022-07-13,,249.99760863095239
2022-07-14,,278.7124196428572
2022-07-15,,299.8386897321429
2022-07-16,,329.29976636904763
2022-07-17,,333.03577008928573
2022-07-18,,320.541
2022-07-19,,324.5391197916667
2022-07-20,,172.94774776785712
2022-07-21,,76.01981770833333
2022-07-22,,219.86585788690476
2022-07-23,,308.4918921130952
2022-07-24,,331.2257023809524
2022-07-25,,215.69203273809524
2022-07-26,,171.52497991071428
2022-07-27,,259.4972886904762
2022-07-28,,262.7964367559524
2022-07-29,,297.62172470238096
2022-07-30,,257.0197678571428
2022-07-31,,182.4221212797619
2022-08-01,,238.31347098214286
2022-08-02,,301.6718311011905
2022-08-03,,308.5470267857143
2022-08-04,,210.85999925595237
2022-08-05,,250.12950595238095
2022-08-06,,282.04993154761905
2022-08-07,,331.42649702380953
2022-08-08,,303.83328050595236
2022-08-09,,325.31415104166666
2022-08-10,,314.8757708333334
2022-08-11,,311.0204970238095
2022-08-12,,309.78348958333333
2022-08-13,,308.2099873511905
2022-08-14,,248.5107023809524
2022-08-15,,179.1996994047619
2022-08-16,,213.8996726190476
2022-08-17,,96.74761607142857
2022-08-18,,210.4763482142857
2022-08-19,,141.69445982142855
2022-08-20,,247.4568980654762
2022-08-21,,219.65313764880952
2022-08-22,,220.5773988095238
2022-08-23,,248.89888541666667
2022-08-24,,236.28731026785715
2022-08-25,,244.4117380952381
2022-08-26,,126.16587648809524
2022-08-27,,158.37259300595238
2022-08-28,,282.5807447916667
2022-08-29,,263.5435357142857
2022-08-30,,236.57888913690476
2022-08-31,,245.863890625
2022-09-01,,263.09553422619047
2022-09-02,,232.30762202380953
2022-09-03,,185.57189583333334
2022-09-04,,249.3704040178571
2022-09-05,,205.28994791666668
2022-09-06,,237.51288839285712
2022-09-07,,209.39384672619047
2022-09-08,,166.0907581845238
2022-09-09,,109.55864285714286
2022-09-10,,108.09536904761906
2022-09-11,,196.23577604166664
2022-09-12,,249.88595982142857
2022-09-13,,107.088921875
2022-09-14,,32.054816220238095
2022-09-15,,120.06713244047619
2022-09-16,,134.3909806547619
2022-09-17,,147.0856324404762
2022-09-18,,92.49446502976191
2022-09-19,,179.07789732142857
2022-09-20,,125.98335788690477
2022-09-21,,206.1166986607143
2022-09-22,,238.98122544642857
2022-09-23,,104.3490319940476
2022-09-24,,63.31285119047619
2022-09-25,,173.0669412202381
2022-09-26,,50.02403720238095
2022-09-27,,107.3548400297619
2022-09-28,,164.3998742559524
2022-09-29,,171.14469642857142
2022-09-30,,198.66455505952382
2022-10-01,,163.91684523809522
2022-10-02,,76.12210267857142
2022-10-03,,169.0803668154762
2022-10-04,,203.9147313988095
2022-10-05,,99.7546212797619
2022-10-06,,214.2374605654762
2022-10-07,,202.78292708333333
2022-10-08,,180.2745989583333
2022-10-09,,210.23145312499997
2022-10-10,,105.61277083333334
2022-10-11,,185.8436086309524
2022-10-12,,154.21913913690474
2022-10-13,,37.09945982142857
2022-10-14,,56.04914880952381
2022-10-15,,80.7074337797619
2022-10-16,,134.30202157738094
2022-10-17,,39.10015922619048
2022-10-18,,153.29235863095238
2022-10-19,,155.48481324404761
2022-10-20,,84.78716964285715
2022-10-21,,120.83237797619049
2022-10-22,,111.347890625
2022-10-23,,59.051991071428574
2022-10-24,,98.55028273809523
2022-10-25,,109.10493973214285
2022-10-26,,138.53588392857142
2022-10-27,,87.60931026785714
2022-10-28,,98.70736086309523
2022-10-29,,100.52212351190477
2022-10-30,,91.70748065476191
2022-10-31,,65.96609821428572
2022-11-01,,138.8413311011905
2022-11-02,,124.4728392857143
2022-11-03,,42.101982886904764
2022-11-04,,53.23655803571428
2022-11-05,,65.44089955357143
2022-11-06,,30.328115327380953
2022-11-07,,43.15424627976191
2022-11-08,,63.56315625
2022-11-09,,76.77263169642858
2022-11-10,,106.478140625
2022-11-11,,89.89020982142857
2022-11-12,,98.43338392857143
2022-11-13,,108.12485267857143
2022-11-14,,71.25953348214286
2022-11-15,,55.719134672619056
2022-11-16,,57.300024812030074
2022-11-17,,43.30240902255639
2022-11-18,,31.33842180451128
2022-11-19,,11.737005263157895
2022-11-20,,22.05545939849624
2022-11-21,,37.72919398496241
2022-11-22,,27.448013533834587
2022-11-23,,40.876321052631575
2022-11-24,,81.62955864661653
2022-11-25,,77.00094436090225
2022-11-26,,65.06412706766918
2022-11-27,,14.791656390977442
2022-11-28,,26.652381954887215
2022-11-29,,31.51608872180451
2022-11-30,,27.985076691729326
2022-12-01,,30.872003759398496
2022-12-02,,7.602457142857143
2022-12-03,,15.756852631578948
2022-12-04,,8.927942105263158
2022-12-05,,9.542994736842106
2022-12-06,,53.81513834586467
2022-12-07,,36.35058345864662
2022-12-08,,37.03733533834587
2022-12-09,,29.865856390977445
2022-12-10,,25.379668421052635
2022-12-11,,16.321086466165415
2022-12-12,,67.83504436090226
2022-12-13,,53.2686962406015
2022-12-14,,62.05206090225563
2022-12-15,,59.69025939849624
2022-12-16,,47.46064360902256
2022-12-17,,46.80216917293233
2022-12-18,,22.560048120300753
2022-12-19,,17.21251127819549
2022-12-20,,8.445472180451127
2022-12-21,,23.90784887218045
2022-12-22,,21.418434586466166
2022-12-23,,6.799157894736841
2022-12-24,,33.99966616541353
2022-12-25,,5.913145112781955
2022-12-26,,21.19713984962406
2022-12-27,,41.16487593984963
2022-12-28,,13.943197744360903
2022-12-29,,23.72641127819549
2022-12-30,,9.59369022556391
2022-12-31,,15.118081203007518
2023-01-01,,24.518745864661653
2023-01-02,,19.91123984962406
2023-01-03,,35.917333834586465
2023-01-04,,9.6470984962406
2023-01-05,,27.311160902255637
2023-01-06,,25.502533082706766
2023-01-07,,52.19567142857143
2023-01-08,,58.43533609022557
2023-01-09,,28.394718045112782
2023-01-10,,24.26973984962406
2023-01-11,,57.99661578947368
2023-01-12,,8.748536842105263
2023-01-13,,32.97842030075188
2023-01-14,,7.481501503759399
2023-01-15,,42.00301278195489
2023-01-16,,26.04968796992481
2023-01-17,,94.50691954887218
2023-01-18,,93.78244436090226
2023-01-19,,50.04833007518797
2023-01-20,,21.290819548872182
2023-01-21,,59.79867142857143
2023-01-22,,22.196375939849624
2023-01-23,,21.174984210526315
2023-01-24,,14.882171428571429
2023-01-25,,12.704468421052631
2023-01-26,,33.69568345864661
2023-01-27,,19.205831578947368
2023-01-28,,52.69291127819549
2023-01-29,,30.2409969924812
2023-01-30,,76.87278195488722
2023-01-31,,31.782503007518798
2023-02-01,,87.90022105263158
2023-02-02,,63.76299624060151
2023-02-03,,33.57196541353383
2023-02-04,,43.25154586466165
2023-02-05,,84.15820977443609
2023-02-06,,118.39622481203007
2023-02-07,,160.83951804511278
2023-02-08,,177.2958962406015
2023-02-09,,121.49551353383458
2023-02-10,,82.61001127819549
2023-02-11,,25.26167969924812
