Audit Comité,Build,CEO office,Customer & Business Excellence,Finance & Business Administration,Human Resources & Organisation,Information & Communication Technology,Operations,"Procurement, Production & Supply Chain",Strategy & Corporate & Public Affairs
2.0,61.0,0.0,215.0,125.0,99.0,234.0,0.0,0.0,45.0
4.0,73.0,0.0,237.0,144.0,102.0,274.0,0.0,0.0,51.0
4.0,75.0,0.0,246.0,143.0,102.0,270.0,0.0,0.0,50.0
3.0,67.0,0.0,241.0,139.0,104.0,267.0,0.0,0.0,52.0
3.0,74.0,0.0,248.0,138.0,110.0,269.0,0.0,0.0,48.0
6.0,77.0,0.0,265.0,153.0,120.0,299.0,0.0,0.0,60.0
4.0,70.0,0.0,247.0,138.0,123.0,284.0,0.0,0.0,57.0
4.0,67.0,0.0,244.0,140.0,116.0,274.0,0.0,0.0,61.0
4.0,78.0,0.0,265.0,145.0,127.0,301.0,0.0,0.0,62.0
4.0,88.0,0.0,272.0,150.0,122.0,308.0,0.0,0.0,61.0
4.0,84.0,0.0,272.0,153.0,124.0,304.0,0.0,0.0,61.0
4.0,86.0,0.0,282.0,158.0,121.0,299.0,0.0,0.0,57.0
3.0,83.0,0.0,301.0,158.0,131.0,322.0,0.0,0.0,63.0
3.0,97.0,0.0,318.0,159.0,149.0,335.0,0.0,0.0,58.0
4.0,93.0,0.0,308.0,158.0,139.0,323.0,0.0,0.0,58.0
3.0,90.0,0.0,305.0,157.0,135.0,313.0,0.0,0.0,56.0
4.0,97.0,0.0,324.0,159.0,130.0,331.0,0.0,0.0,60.0
4.0,88.0,0.0,305.0,153.0,127.0,329.0,0.0,0.0,59.0
3.0,89.0,0.0,299.0,151.0,130.0,306.0,0.0,0.0,61.0
5.0,82.0,0.0,302.0,155.0,128.0,314.0,0.0,0.0,52.0
4.0,100.0,0.0,324.0,157.0,133.0,329.0,0.0,0.0,61.0
5.0,102.0,1.0,339.0,166.0,135.0,360.0,0.0,0.0,65.0
5.0,102.0,1.0,363.0,162.0,133.0,357.0,0.0,0.0,64.0
5.0,101.0,1.0,354.0,166.0,142.0,358.0,0.0,0.0,73.0
5.0,0.0,1.0,226.0,159.0,137.0,369.0,646.0,0.0,73.0
5.0,0.0,1.0,232.0,165.0,132.0,366.0,658.0,0.0,73.0
7.0,0.0,1.0,313.0,225.0,198.0,817.0,2226.0,0.0,80.0
7.0,0.0,1.0,312.0,220.0,200.0,826.0,2321.0,0.0,82.0
7.0,0.0,1.0,317.0,219.0,203.0,787.0,2113.0,0.0,82.0
7.0,0.0,1.0,317.0,220.0,198.0,762.0,1888.0,0.0,83.0
8.0,0.0,1.0,314.0,218.0,198.0,734.0,1746.0,0.0,81.0
7.0,0.0,3.0,308.0,213.0,190.0,730.0,1786.0,0.0,79.0
7.0,0.0,3.0,318.0,215.0,199.0,767.0,1841.0,0.0,81.0
7.0,0.0,3.0,412.0,217.0,202.0,795.0,2007.0,0.0,81.0
6.0,0.0,4.0,408.0,212.0,203.0,785.0,2102.0,0.0,82.0
6.0,0.0,4.0,409.0,213.0,203.0,757.0,2019.0,0.0,82.0
6.0,0.0,4.0,407.0,217.0,203.0,768.0,2062.0,0.0,83.0
