ANDERE,DERDEN,INFRABEL,NMBS
50.0,561.0,196.0,380.0
28.0,556.0,227.0,403.0
20.0,707.0,226.0,450.0
8.0,335.0,208.0,396.0
54.0,598.0,278.0,500.0
31.0,835.0,217.0,521.0
48.0,615.0,287.0,436.0
54.0,710.0,208.0,443.0
12.0,942.0,327.0,667.0
114.0,637.0,331.0,533.0
63.0,655.0,410.0,591.0
47.0,552.0,252.0,579.0
49.0,306.0,59.0,370.0
9.0,271.0,61.0,224.0
37.0,727.0,75.0,216.0
20.0,314.0,65.0,186.0
25.0,701.0,51.0,212.0
17.0,320.0,109.0,241.0
80.0,539.0,49.0,363.0
6.0,230.0,73.0,238.0
28.0,175.0,72.0,262.0
9.0,245.0,105.0,279.0
8.0,217.0,76.0,265.0
8.0,426.0,74.0,253.0
49.0,639.0,238.0,462.0
81.0,1064.0,422.0,415.0
41.0,723.0,291.0,471.0
26.0,171.0,89.0,135.0
79.0,551.0,252.0,331.0
21.0,522.0,440.0,392.0
33.0,630.0,195.0,350.0
115.0,483.0,296.0,443.0
40.0,560.0,455.0,521.0
124.0,490.0,287.0,504.0
144.0,569.0,337.0,457.0
79.0,524.0,268.0,456.0
66.0,560.0,413.0,606.0
251.0,870.0,378.0,721.0
50.0,916.0,426.0,663.0
54.0,667.0,278.0,523.0
45.0,693.0,502.0,449.0
68.0,766.0,533.0,931.0
43.0,1584.0,239.0,494.0
41.0,521.0,370.0,526.0
63.0,728.0,514.0,702.0
22.0,960.0,402.0,823.0
50.0,1054.0,377.0,774.0
50.0,637.0,399.0,773.0
50.0,622.0,283.0,703.0
92.0,1567.0,264.0,576.0
125.0,1011.0,490.0,794.0
185.0,950.0,360.0,657.0
159.0,937.0,553.0,787.0
70.0,1006.0,366.0,1034.0
100.0,790.0,424.0,929.0
117.0,601.0,240.0,732.0
71.0,868.0,516.0,823.0
42.0,1027.0,629.0,1006.0
48.0,888.0,466.0,845.0
47.0,1129.0,611.0,1738.0
70.0,960.0,309.0,827.0
165.0,1002.0,684.0,1174.0
201.0,1034.0,501.0,1061.0
69.0,862.0,405.0,1081.0
75.0,1251.0,830.0,1098.0
150.0,1048.0,787.0,1216.0
79.0,819.0,308.0,691.0
59.0,942.0,428.0,684.0
80.0,970.0,454.0,1106.0
147.0,1077.0,605.0,1133.0
101.0,1442.0,646.0,1232.0
99.0,1009.0,426.0,1209.0
89.0,1311.0,731.0,1736.0
63.0,1294.0,678.0,1119.0
84.0,931.0,841.0,933.0
79.0,1084.0,459.0,840.0
74.0,1269.0,593.0,987.0
81.0,1021.0,554.0,905.0
91.0,1097.0,475.0,795.0
