ANDERE,DERDEN,INFRABEL,NMBS
18.0,221.0,81.0,185.0
13.0,1896.0,62.0,251.0
21.0,210.0,29.0,208.0
7.0,284.0,49.0,161.0
13.0,322.0,44.0,220.0
9.0,448.0,33.0,392.0
9.0,342.0,67.0,229.0
17.0,316.0,59.0,234.0
6.0,326.0,66.0,359.0
50.0,223.0,71.0,353.0
6.0,299.0,80.0,354.0
9.0,336.0,53.0,287.0
228.0,744.0,363.0,634.0
49.0,675.0,281.0,550.0
89.0,678.0,281.0,402.0
65.0,753.0,441.0,417.0
209.0,1330.0,291.0,466.0
54.0,701.0,468.0,520.0
159.0,748.0,274.0,673.0
65.0,586.0,267.0,447.0
91.0,746.0,427.0,550.0
80.0,505.0,485.0,658.0
52.0,504.0,522.0,827.0
72.0,592.0,389.0,530.0
7.0,327.0,92.0,212.0
34.0,373.0,63.0,188.0
11.0,785.0,53.0,468.0
3.0,216.0,19.0,35.0
16.0,236.0,24.0,126.0
6.0,191.0,71.0,181.0
6.0,240.0,24.0,172.0
38.0,268.0,75.0,314.0
5.0,172.0,151.0,249.0
12.0,222.0,95.0,186.0
9.0,206.0,41.0,157.0
16.0,262.0,32.0,204.0
5.0,227.0,122.0,246.0
146.0,603.0,103.0,433.0
2.0,307.0,106.0,252.0
12.0,171.0,60.0,163.0
8.0,251.0,173.0,161.0
21.0,322.0,99.0,345.0
5.0,2193.0,31.0,197.0
44.0,329.0,43.0,189.0
16.0,272.0,109.0,269.0
10.0,321.0,41.0,502.0
13.0,301.0,53.0,510.0
19.0,324.0,92.0,470.0
9.0,377.0,73.0,578.0
9.0,1379.0,33.0,201.0
16.0,546.0,85.0,637.0
44.0,952.0,79.0,656.0
29.0,384.0,128.0,610.0
14.0,452.0,61.0,864.0
30.0,454.0,95.0,727.0
26.0,224.0,42.0,581.0
15.0,478.0,117.0,581.0
8.0,516.0,111.0,435.0
9.0,441.0,83.0,422.0
15.0,730.0,113.0,1282.0
5.0,392.0,50.0,415.0
44.0,339.0,92.0,1212.0
84.0,472.0,89.0,554.0
13.0,293.0,93.0,449.0
11.0,454.0,213.0,631.0
60.0,418.0,197.0,656.0
22.0,286.0,53.0,325.0
8.0,284.0,103.0,387.0
37.0,336.0,43.0,534.0
26.0,410.0,112.0,617.0
28.0,627.0,103.0,592.0
22.0,484.0,163.0,642.0
19.0,419.0,178.0,856.0
14.0,376.0,191.0,482.0
27.0,293.0,201.0,429.0
7.0,345.0,125.0,447.0
17.0,336.0,128.0,456.0
25.0,319.0,142.0,515.0
24.0,659.0,84.0,484.0
28.0,364.0,102.0,460.0
15.0,435.0,117.0,593.0
27.0,417.0,129.0,519.0
