,DATE,Totaal aantal mensen volledig gevaccineerd (opgeteld),Totaal aantal mensen met minstens één dosis (opgeteld),Totaal aantal mensen met een boosterprik (opgeteld),Totaal aantal mensen met een 2de boosterprik (opgeteld),Totaal aantal mensen met een 3de boosterprik (opgeteld)
0,2020-12-28,0.0,340.0,0.0,0.0,0.0
1,2020-12-29,11.0,380.0,0.0,0.0,0.0
2,2020-12-30,21.0,911.0,0.0,0.0,0.0
3,2020-12-31,21.0,959.0,0.0,0.0,0.0
4,2021-01-01,21.0,978.0,0.0,0.0,0.0
5,2021-01-02,34.0,1005.0,0.0,0.0,0.0
6,2021-01-03,34.0,1039.0,0.0,0.0,0.0
7,2021-01-04,50.0,1111.0,0.0,0.0,0.0
8,2021-01-05,81.0,2903.0,0.0,0.0,0.0
9,2021-01-06,111.0,6937.0,0.0,0.0,0.0
10,2021-01-07,132.0,15451.0,0.0,0.0,0.0
11,2021-01-08,185.0,24894.0,0.0,0.0,0.0
12,2021-01-09,204.0,28191.0,0.0,0.0,0.0
13,2021-01-10,206.0,28687.0,0.0,0.0,0.0
14,2021-01-11,226.0,34428.0,0.0,0.0,0.0
15,2021-01-12,259.0,50528.0,0.0,0.0,0.0
16,2021-01-13,397.0,72378.0,0.0,0.0,0.0
17,2021-01-14,427.0,95954.0,0.0,0.0,0.0
18,2021-01-15,457.0,119668.0,0.0,0.0,0.0
19,2021-01-16,471.0,124916.0,0.0,0.0,0.0
20,2021-01-17,500.0,128190.0,0.0,0.0,0.0
21,2021-01-18,663.0,139351.0,0.0,0.0,0.0
22,2021-01-19,908.0,158652.0,0.0,0.0,0.0
23,2021-01-20,1410.0,179960.0,0.0,0.0,0.0
24,2021-01-21,1476.0,210359.0,0.0,0.0,0.0
25,2021-01-22,1563.0,240567.0,0.0,0.0,0.0
26,2021-01-23,1587.0,249097.0,0.0,0.0,0.0
27,2021-01-24,1621.0,251018.0,0.0,0.0,0.0
28,2021-01-25,1674.0,262476.0,0.0,0.0,0.0
29,2021-01-26,3480.0,273703.0,0.0,0.0,0.0
30,2021-01-27,6987.0,287120.0,0.0,0.0,0.0
31,2021-01-28,14971.0,303251.0,0.0,0.0,0.0
32,2021-01-29,24232.0,315865.0,0.0,0.0,0.0
33,2021-01-30,27175.0,317529.0,0.0,0.0,0.0
34,2021-01-31,27531.0,318184.0,0.0,0.0,0.0
35,2021-02-01,31545.0,322230.0,0.0,0.0,0.0
36,2021-02-02,46086.0,332569.0,0.0,0.0,0.0
37,2021-02-03,66976.0,342893.0,0.0,0.0,0.0
38,2021-02-04,91555.0,353004.0,0.0,0.0,0.0
39,2021-02-05,114722.0,361204.0,0.0,0.0,0.0
40,2021-02-06,120094.0,362470.0,0.0,0.0,0.0
41,2021-02-07,123204.0,362814.0,0.0,0.0,0.0
42,2021-02-08,131175.0,365237.0,0.0,0.0,0.0
43,2021-02-09,151151.0,373522.0,0.0,0.0,0.0
44,2021-02-10,170497.0,380171.0,0.0,0.0,0.0
45,2021-02-11,199058.0,388590.0,0.0,0.0,0.0
46,2021-02-12,227504.0,395472.0,0.0,0.0,0.0
47,2021-02-13,235720.0,396126.0,0.0,0.0,0.0
48,2021-02-14,237620.0,396277.0,0.0,0.0,0.0
49,2021-02-15,249474.0,398486.0,0.0,0.0,0.0
50,2021-02-16,260189.0,402991.0,0.0,0.0,0.0
51,2021-02-17,273176.0,410353.0,0.0,0.0,0.0
52,2021-02-18,290667.0,421100.0,0.0,0.0,0.0
53,2021-02-19,304107.0,439277.0,0.0,0.0,0.0
54,2021-02-20,305746.0,443787.0,0.0,0.0,0.0
55,2021-02-21,306054.0,445757.0,0.0,0.0,0.0
56,2021-02-22,309078.0,455701.0,0.0,0.0,0.0
57,2021-02-23,317441.0,467810.0,0.0,0.0,0.0
58,2021-02-24,325955.0,482862.0,0.0,0.0,0.0
59,2021-02-25,335355.0,505809.0,0.0,0.0,0.0
60,2021-02-26,342455.0,531241.0,0.0,0.0,0.0
61,2021-02-27,343335.0,534953.0,0.0,0.0,0.0
62,2021-02-28,343616.0,535593.0,0.0,0.0,0.0
63,2021-03-01,346456.0,546652.0,0.0,0.0,0.0
64,2021-03-02,353459.0,563738.0,0.0,0.0,0.0
65,2021-03-03,359758.0,588117.0,0.0,0.0,0.0
66,2021-03-04,368796.0,629563.0,0.0,0.0,0.0
67,2021-03-05,375722.0,668208.0,0.0,0.0,0.0
68,2021-03-06,376426.0,676023.0,0.0,0.0,0.0
69,2021-03-07,376637.0,677419.0,0.0,0.0,0.0
70,2021-03-08,378728.0,693029.0,0.0,0.0,0.0
71,2021-03-09,386317.0,714828.0,0.0,0.0,0.0
