,Datum,Aantal Covid-overlijdens,Aantal Covid-overlijdens opgeteld
0,2020-03-07,1,1
1,2020-03-10,1,2
2,2020-03-11,3,5
3,2020-03-13,3,8
4,2020-03-14,7,15
5,2020-03-15,7,22
6,2020-03-16,11,33
7,2020-03-17,15,48
8,2020-03-18,25,73
9,2020-03-19,35,108
10,2020-03-20,40,148
11,2020-03-21,41,189
12,2020-03-22,55,244
13,2020-03-23,82,326
14,2020-03-24,76,402
15,2020-03-25,111,513
16,2020-03-26,102,615
17,2020-03-27,136,751
18,2020-03-28,143,894
19,2020-03-29,145,1039
20,2020-03-30,171,1210
21,2020-03-31,201,1411
22,2020-04-01,241,1652
23,2020-04-02,214,1866
24,2020-04-03,242,2108
25,2020-04-04,269,2377
26,2020-04-05,246,2623
27,2020-04-06,255,2878
28,2020-04-07,276,3154
29,2020-04-08,324,3478
30,2020-04-09,270,3748
31,2020-04-10,304,4052
32,2020-04-11,288,4340
33,2020-04-12,268,4608
34,2020-04-13,275,4883
35,2020-04-14,259,5142
36,2020-04-15,280,5422
37,2020-04-16,245,5667
38,2020-04-17,205,5872
39,2020-04-18,210,6082
40,2020-04-19,186,6268
41,2020-04-20,208,6476
42,2020-04-21,192,6668
43,2020-04-22,181,6849
44,2020-04-23,156,7005
45,2020-04-24,156,7161
46,2020-04-25,142,7303
47,2020-04-26,152,7455
48,2020-04-27,132,7587
49,2020-04-28,113,7700
50,2020-04-29,107,7807
51,2020-04-30,91,7898
52,2020-05-01,94,7992
53,2020-05-02,79,8071
54,2020-05-03,91,8162
55,2020-05-04,93,8255
56,2020-05-05,84,8339
57,2020-05-06,77,8416
58,2020-05-07,68,8484
59,2020-05-08,80,8564
60,2020-05-09,76,8640
61,2020-05-10,72,8712
62,2020-05-11,66,8778
63,2020-05-12,47,8825
64,2020-05-13,60,8885
65,2020-05-14,46,8931
66,2020-05-15,47,8978
67,2020-05-16,29,9007
68,2020-05-17,32,9039
69,2020-05-18,39,9078
70,2020-05-19,36,9114
71,2020-05-20,31,9145
72,2020-05-21,38,9183
73,2020-05-22,42,9225
74,2020-05-23,28,9253
75,2020-05-24,32,9285
76,2020-05-25,26,9311
77,2020-05-26,26,9337
78,2020-05-27,25,9362
79,2020-05-28,28,9390
80,2020-05-29,16,9406
81,2020-05-30,25,9431
82,2020-05-31,22,9453
83,2020-06-01,21,9474
84,2020-06-02,24,9498
85,2020-06-03,19,9517
86,2020-06-04,17,9534
87,2020-06-05,13,9547
88,2020-06-06,11,9558
89,2020-06-07,12,9570
90,2020-06-08,10,9580
91,2020-06-09,12,9592
92,2020-06-10,15,9607
93,2020-06-11,9,9616
94,2020-06-12,10,9626
95,2020-06-13,5,9631
96,2020-06-14,5,9636
97,2020-06-15,8,9644
98,2020-06-16,9,9653
99,2020-06-17,8,9661
100,2020-06-18,5,9666
101,2020-06-19,4,9670
102,2020-06-20,4,9674
103,2020-06-21,8,9682
104,2020-06-22,12,9694
105,2020-06-23,4,9698
106,2020-06-24,5,9703
107,2020-06-25,5,9708
108,2020-06-26,2,9710
109,2020-06-27,8,9718
110,2020-06-28,5,9723
111,2020-06-29,3,9726
112,2020-06-30,8,9734
113,2020-07-01,3,9737
114,2020-07-02,4,9741
115,2020-07-03,2,9743
116,2020-07-04,4,9747
117,2020-07-05,2,9749
118,2020-07-06,1,9750
119,2020-07-07,3,9753
120,2020-07-08,1,9754
121,2020-07-09,2,9756
122,2020-07-11,2,9758
123,2020-07-12,4,9762
124,2020-07-13,1,9763
125,2020-07-14,3,9766
126,2020-07-15,5,9771
127,2020-07-16,5,9776
128,2020-07-17,2,9778
129,2020-07-18,3,9781
130,2020-07-19,2,9783
131,2020-07-20,2,9785
132,2020-07-21,1,9786
133,2020-07-22,2,9788
134,2020-07-23,2,9790
135,2020-07-24,5,9795
136,2020-07-25,1,9796
137,2020-07-26,2,9798
138,2020-07-27,6,9804
139,2020-07-28,1,9805
140,2020-07-29,3,9808
141,2020-07-30,2,9810
142,2020-07-31,5,9815
143,2020-08-01,1,9816
144,2020-08-02,5,9821
145,2020-08-03,5,9826
146,2020-08-04,7,9833
147,2020-08-05,5,9838
148,2020-08-06,4,9842
149,2020-08-07,7,9849
150,2020-08-08,2,9851
151,2020-08-09,5,9856
152,2020-08-10,11,9867
153,2020-08-11,12,9879
154,2020-08-12,11,9890
155,2020-08-13,14,9904
156,2020-08-14,12,9916
157,2020-08-15,10,9926
158,2020-08-16,8,9934
159,2020-08-17,7,9941
160,2020-08-18,11,9952
161,2020-08-19,10,9962
162,2020-08-20,5,9967
163,2020-08-21,3,9970
164,2020-08-22,6,9976
165,2020-08-23,4,9980
166,2020-08-24,5,9985
167,2020-08-25,5,9990
168,2020-08-26,4,9994
169,2020-08-27,3,9997
170,2020-08-28,4,10001
171,2020-08-29,6,10007
172,2020-08-30,1,10008
173,2020-08-31,3,10011
174,2020-09-01,3,10014
175,2020-09-02,3,10017
176,2020-09-03,4,10021
177,2020-09-04,2,10023
178,2020-09-05,1,10024
179,2020-09-06,3,10027
180,2020-09-07,4,10031
181,2020-09-08,3,10034
182,2020-09-09,2,10036
183,2020-09-10,3,10039
184,2020-09-11,5,10044
185,2020-09-12,1,10045
186,2020-09-13,1,10046
187,2020-09-14,4,10050
188,2020-09-15,3,10053
189,2020-09-16,4,10057
190,2020-09-17,1,10058
191,2020-09-18,6,10064
192,2020-09-19,8,10072
193,2020-09-20,3,10075
194,2020-09-21,3,10078
195,2020-09-22,1,10079
196,2020-09-23,8,10087
197,2020-09-24,5,10092
198,2020-09-25,5,10097
199,2020-09-26,7,10104
200,2020-09-27,13,10117
201,2020-09-28,13,10130
202,2020-09-29,10,10140
203,2020-09-30,6,10146
204,2020-10-01,15,10161
205,2020-10-02,12,10173
206,2020-10-03,15,10188
207,2020-10-04,15,10203
208,2020-10-05,15,10218
209,2020-10-06,19,10237
210,2020-10-07,20,10257
211,2020-10-08,20,10277
212,2020-10-09,20,10297
213,2020-10-10,22,10319
214,2020-10-11,28,10347
215,2020-10-12,36,10383
216,2020-10-13,36,10419
217,2020-10-14,42,10461
218,2020-10-15,39,10500
219,2020-10-16,36,10536
220,2020-10-17,23,10559
221,2020-10-18,31,10590
222,2020-10-19,55,10645
223,2020-10-20,53,10698
224,2020-10-21,61,10759
225,2020-10-22,57,10816
226,2020-10-23,92,10908
227,2020-10-24,96,11004
228,2020-10-25,98,11102
229,2020-10-26,123,11225
230,2020-10-27,130,11355
231,2020-10-28,143,11498
232,2020-10-29,141,11639
233,2020-10-30,185,11824
234,2020-10-31,175,11999
235,2020-11-01,166,12165
236,2020-11-02,214,12379
237,2020-11-03,175,12554
238,2020-11-04,200,12754
239,2020-11-05,211,12965
240,2020-11-06,216,13181
241,2020-11-07,210,13391
242,2020-11-08,209,13600
243,2020-11-09,198,13798
244,2020-11-10,219,14017
245,2020-11-11,196,14213
246,2020-11-12,172,14385
247,2020-11-13,183,14568
248,2020-11-14,178,14746
249,2020-11-15,193,14939
250,2020-11-16,195,15134
251,2020-11-17,160,15294
252,2020-11-18,159,15453
253,2020-11-19,172,15625
254,2020-11-20,171,15796
255,2020-11-21,142,15938
256,2020-11-22,134,16072
257,2020-11-23,142,16214
258,2020-11-24,123,16337
259,2020-11-25,139,16476
260,2020-11-26,118,16594
261,2020-11-27,126,16720
262,2020-11-28,119,16839
263,2020-11-29,119,16958
264,2020-11-30,102,17060
265,2020-12-01,111,17171
266,2020-12-02,117,17288
267,2020-12-03,95,17383
268,2020-12-04,110,17493
269,2020-12-05,87,17580
270,2020-12-06,86,17666
271,2020-12-07,98,17764
272,2020-12-08,92,17856
273,2020-12-09,89,17945
274,2020-12-10,96,18041
275,2020-12-11,114,18155
276,2020-12-12,87,18242
277,2020-12-13,92,18334
278,2020-12-14,100,18434
279,2020-12-15,103,18537
280,2020-12-16,99,18636
281,2020-12-17,90,18726
282,2020-12-18,85,18811
283,2020-12-19,93,18904
284,2020-12-20,89,18993
285,2020-12-21,71,19064
286,2020-12-22,102,19166
287,2020-12-23,94,19260
288,2020-12-24,81,19341
289,2020-12-25,69,19410
290,2020-12-26,63,19473
291,2020-12-27,61,19534
292,2020-12-28,63,19597
293,2020-12-29,77,19674
294,2020-12-30,75,19749
295,2020-12-31,88,19837
296,2021-01-01,51,19888
297,2021-01-02,64,19952
298,2021-01-03,42,19994
299,2021-01-04,59,20053
300,2021-01-05,63,20116
301,2021-01-06,57,20173
302,2021-01-07,53,20226
303,2021-01-08,50,20276
304,2021-01-09,52,20328
305,2021-01-10,57,20385
306,2021-01-11,53,20438
307,2021-01-12,51,20489
308,2021-01-13,41,20530
309,2021-01-14,62,20592
310,2021-01-15,48,20640
311,2021-01-16,47,20687
312,2021-01-17,44,20731
313,2021-01-18,58,20789
314,2021-01-19,61,20850
315,2021-01-20,49,20899
316,2021-01-21,53,20952
317,2021-01-22,49,21001
318,2021-01-23,68,21069
319,2021-01-24,39,21108
320,2021-01-25,44,21152
321,2021-01-26,53,21205
322,2021-01-27,41,21246
323,2021-01-28,55,21301
324,2021-01-29,44,21345
325,2021-01-30,29,21374
326,2021-01-31,32,21406
327,2021-02-01,40,21446
328,2021-02-02,52,21498
329,2021-02-03,43,21541
330,2021-02-04,34,21575
331,2021-02-05,57,21632
332,2021-02-06,42,21674
333,2021-02-07,41,21715
334,2021-02-08,37,21752
335,2021-02-09,41,21793
336,2021-02-10,42,21835
337,2021-02-11,35,21870
338,2021-02-12,43,21913
339,2021-02-13,31,21944
340,2021-02-14,52,21996
341,2021-02-15,37,22033
342,2021-02-16,39,22072
343,2021-02-17,29,22101
344,2021-02-18,33,22134
345,2021-02-19,30,22164
346,2021-02-20,21,22185
347,2021-02-21,26,22211
348,2021-02-22,20,22231
349,2021-02-23,25,22256
350,2021-02-24,22,22278
351,2021-02-25,29,22307
352,2021-02-26,22,22329
353,2021-02-27,29,22358
354,2021-02-28,31,22389
355,2021-03-01,31,22420
356,2021-03-02,25,22445
357,2021-03-03,26,22471
358,2021-03-04,17,22488
359,2021-03-05,33,22521
360,2021-03-06,25,22546
361,2021-03-07,19,22565
362,2021-03-08,36,22601
363,2021-03-09,23,22624
364,2021-03-10,24,22648
365,2021-03-11,27,22675
366,2021-03-12,20,22695
367,2021-03-13,25,22720
368,2021-03-14,20,22740
369,2021-03-15,25,22765
370,2021-03-16,28,22793
371,2021-03-17,25,22818
372,2021-03-18,26,22844
373,2021-03-19,31,22875
374,2021-03-20,24,22899
375,2021-03-21,24,22923
376,2021-03-22,34,22957
377,2021-03-23,24,22981
378,2021-03-24,27,23008
379,2021-03-25,34,23042
380,2021-03-26,20,23062
381,2021-03-27,28,23090
382,2021-03-28,23,23113
383,2021-03-29,31,23144
384,2021-03-30,33,23177
385,2021-03-31,31,23208
386,2021-04-01,40,23248
387,2021-04-02,46,23294
388,2021-04-03,40,23334
389,2021-04-04,36,23370
390,2021-04-05,49,23419
391,2021-04-06,46,23465
392,2021-04-07,43,23508
393,2021-04-08,43,23551
394,2021-04-09,44,23595
395,2021-04-10,46,23641
396,2021-04-11,22,23663
397,2021-04-12,44,23707
398,2021-04-13,37,23744
399,2021-04-14,39,23783
400,2021-04-15,42,23825
401,2021-04-16,45,23870
402,2021-04-17,30,23900
403,2021-04-18,35,23935
404,2021-04-19,50,23985
405,2021-04-20,36,24021
406,2021-04-21,36,24057
407,2021-04-22,43,24100
408,2021-04-23,42,24142
409,2021-04-24,36,24178
410,2021-04-25,39,24217
411,2021-04-26,44,24261
412,2021-04-27,26,24287
413,2021-04-28,49,24336
414,2021-04-29,46,24382
415,2021-04-30,33,24415
416,2021-05-01,28,24443
417,2021-05-02,34,24477
418,2021-05-03,43,24520
419,2021-05-04,40,24560
420,2021-05-05,38,24598
421,2021-05-06,38,24636
422,2021-05-07,26,24662
423,2021-05-08,42,24704
424,2021-05-09,32,24736
425,2021-05-10,28,24764
426,2021-05-11,17,24781
427,2021-05-12,19,24800
428,2021-05-13,21,24821
429,2021-05-14,20,24841
430,2021-05-15,22,24863
431,2021-05-16,17,24880
432,2021-05-17,24,24904
433,2021-05-18,17,24921
434,2021-05-19,25,24946
435,2021-05-20,16,24962
436,2021-05-21,19,24981
437,2021-05-22,18,24999
438,2021-05-23,11,25010
439,2021-05-24,19,25029
440,2021-05-25,16,25045
441,2021-05-26,14,25059
442,2021-05-27,6,25065
443,2021-05-28,11,25076
444,2021-05-29,16,25092
445,2021-05-30,18,25110
446,2021-05-31,14,25124
447,2021-06-01,11,25135
448,2021-06-02,16,25151
449,2021-06-03,15,25166
450,2021-06-04,10,25176
451,2021-06-05,13,25189
452,2021-06-06,7,25196
453,2021-06-07,5,25201
454,2021-06-08,13,25214
455,2021-06-09,6,25220
456,2021-06-10,7,25227
457,2021-06-11,9,25236
458,2021-06-12,6,25242
459,2021-06-13,4,25246
460,2021-06-14,6,25252
461,2021-06-15,6,25258
462,2021-06-16,6,25264
463,2021-06-17,7,25271
464,2021-06-18,9,25280
465,2021-06-19,6,25286
466,2021-06-20,3,25289
467,2021-06-21,5,25294
468,2021-06-22,3,25297
469,2021-06-23,5,25302
470,2021-06-24,5,25307
471,2021-06-25,5,25312
472,2021-06-26,2,25314
473,2021-06-27,3,25317
474,2021-06-28,2,25319
475,2021-06-29,5,25324
476,2021-06-30,2,25326
477,2021-07-01,5,25331
478,2021-07-02,3,25334
479,2021-07-03,3,25337
480,2021-07-04,2,25339
481,2021-07-05,3,25342
482,2021-07-06,1,25343
483,2021-07-08,2,25345
484,2021-07-09,2,25347
485,2021-07-10,5,25352
486,2021-07-12,2,25354
487,2021-07-14,1,25355
488,2021-07-15,2,25357
489,2021-07-16,2,25359
490,2021-07-18,2,25361
491,2021-07-21,3,25364
492,2021-07-22,4,25368
493,2021-07-23,2,25370
494,2021-07-24,3,25373
495,2021-07-25,2,25375
496,2021-07-26,1,25376
497,2021-07-27,4,25380
498,2021-07-28,1,25381
499,2021-07-29,6,25387
500,2021-07-30,7,25394
501,2021-07-31,3,25397
502,2021-08-01,1,25398
503,2021-08-02,5,25403
504,2021-08-03,5,25408
505,2021-08-04,4,25412
506,2021-08-05,3,25415
507,2021-08-06,3,25418
508,2021-08-07,3,25421
509,2021-08-08,3,25424
510,2021-08-09,5,25429
511,2021-08-10,2,25431
512,2021-08-11,2,25433
513,2021-08-12,3,25436
514,2021-08-13,5,25441
515,2021-08-14,4,25445
516,2021-08-15,2,25447
517,2021-08-16,5,25452
518,2021-08-17,3,25455
519,2021-08-18,4,25459
520,2021-08-19,9,25468
521,2021-08-20,9,25477
522,2021-08-21,7,25484
523,2021-08-22,7,25491
524,2021-08-23,3,25494
525,2021-08-24,6,25500
526,2021-08-25,7,25507
527,2021-08-26,6,25513
528,2021-08-27,5,25518
529,2021-08-28,4,25522
530,2021-08-29,4,25526
531,2021-08-30,5,25531
532,2021-08-31,4,25535
533,2021-09-01,7,25542
534,2021-09-02,6,25548
535,2021-09-03,6,25554
536,2021-09-04,10,25564
537,2021-09-05,8,25572
538,2021-09-06,7,25579
539,2021-09-07,9,25588
540,2021-09-08,9,25597
541,2021-09-09,6,25603
542,2021-09-10,7,25610
543,2021-09-11,7,25617
544,2021-09-12,7,25624
545,2021-09-13,7,25631
546,2021-09-14,8,25639
547,2021-09-15,7,25646
548,2021-09-16,1,25647
549,2021-09-17,5,25652
550,2021-09-18,9,25661
551,2021-09-19,7,25668
552,2021-09-20,6,25674
553,2021-09-21,5,25679
554,2021-09-22,11,25690
555,2021-09-23,11,25701
556,2021-09-24,7,25708
557,2021-09-25,7,25715
558,2021-09-26,7,25722
559,2021-09-27,13,25735
560,2021-09-28,7,25742
561,2021-09-29,7,25749
562,2021-09-30,11,25760
563,2021-10-01,6,25766
564,2021-10-02,8,25774
565,2021-10-03,8,25782
566,2021-10-04,5,25787
567,2021-10-05,14,25801
568,2021-10-06,13,25814
569,2021-10-07,11,25825
570,2021-10-08,7,25832
571,2021-10-09,11,25843
572,2021-10-10,4,25847
573,2021-10-11,18,25865
574,2021-10-12,13,25878
575,2021-10-13,8,25886
576,2021-10-14,10,25896
577,2021-10-15,18,25914
578,2021-10-16,14,25928
579,2021-10-17,10,25938
580,2021-10-18,19,25957
581,2021-10-19,13,25970
582,2021-10-20,14,25984
583,2021-10-21,10,25994
584,2021-10-22,18,26012
585,2021-10-23,20,26032
586,2021-10-24,16,26048
587,2021-10-25,18,26066
