Datum,Bevestigde besmettingen,Zevendaags lopende gemiddelde
2020-03-07,27,49.0
2020-03-08,64,55.0
2020-03-09,94,66.0
2020-03-10,99,75.0
2020-03-11,174,93.0
2020-03-12,250,117.0
2020-03-13,338,149.0
2020-03-14,179,171.0
2020-03-15,214,193.0
2020-03-16,387,234.0
2020-03-17,422,281.0
2020-03-18,534,332.0
2020-03-19,713,398.0
2020-03-20,662,444.0
2020-03-21,469,486.0
2020-03-22,486,525.0
2020-03-23,1328,659.0
2020-03-24,1195,770.0
2020-03-25,1199,865.0
2020-03-26,1363,957.0
2020-03-27,1518,1080.0
2020-03-28,844,1133.0
2020-03-29,683,1161.0
2020-03-30,1738,1220.0
2020-03-31,1681,1289.0
2020-04-01,1516,1335.0
2020-04-02,1478,1351.0
2020-04-03,1694,1376.0
2020-04-04,922,1387.0
2020-04-05,665,1385.0
2020-04-06,1934,1413.0
2020-04-07,1515,1389.0
2020-04-08,1598,1401.0
2020-04-09,2239,1510.0
2020-04-10,2336,1601.0
2020-04-11,1029,1617.0
2020-04-12,524,1596.0
2020-04-13,537,1397.0
2020-04-14,1560,1403.0
2020-04-15,1633,1408.0
2020-04-16,1674,1328.0
2020-04-17,1394,1193.0
2020-04-18,722,1149.0
2020-04-19,443,1138.0
2020-04-20,1276,1243.0
2020-04-21,1270,1202.0
2020-04-22,777,1079.0
2020-04-23,976,980.0
2020-04-24,811,896.0
2020-04-25,388,849.0
2020-04-26,205,815.0
2020-04-27,755,740.0
2020-04-28,569,640.0
2020-04-29,522,604.0
2020-04-30,586,548.0
2020-05-01,237,466.0
2020-05-02,286,451.0
2020-05-03,140,442.0
2020-05-04,670,430.0
2020-05-05,546,427.0
2020-05-06,552,431.0
2020-05-07,442,410.0
2020-05-08,483,446.0
2020-05-09,240,439.0
2020-05-10,118,436.0
2020-05-11,476,408.0
2020-05-12,395,387.0
2020-05-13,321,354.0
2020-05-14,305,334.0
2020-05-15,346,314.0
2020-05-16,147,301.0
2020-05-17,81,296.0
2020-05-18,317,273.0
2020-05-19,292,258.0
2020-05-20,385,268.0
2020-05-21,70,234.0
2020-05-22,248,220.0
2020-05-23,123,217.0
2020-05-24,75,216.0
2020-05-25,314,215.0
2020-05-26,202,202.0
2020-05-27,182,173.0
2020-05-28,171,188.0
2020-05-29,165,176.0
2020-05-30,61,167.0
2020-05-31,49,163.0
2020-06-01,59,127.0
2020-06-02,181,124.0
2020-06-03,159,121.0
2020-06-04,172,121.0
2020-06-05,154,119.0
2020-06-06,69,120.0
2020-06-07,53,121.0
2020-06-08,152,134.0
2020-06-09,145,129.0
2020-06-10,119,123.0
2020-06-11,95,112.0
2020-06-12,89,103.0
2020-06-13,49,100.0
2020-06-14,22,96.0
2020-06-15,147,95.0
2020-06-16,99,89.0
2020-06-17,123,89.0
2020-06-18,108,91.0
2020-06-19,121,96.0
