,Datum,Aantal testen,Positieve testresultaten,positiviteitsratio,Negatieve testresultaten
0,2020-03-01,82,0,0.0,82
1,2020-03-02,317,10,3.1545741324921135,307
2,2020-03-03,538,21,3.903345724907063,517
3,2020-03-04,701,37,5.2781740370898715,664
4,2020-03-05,773,65,8.408796895213454,708
5,2020-03-06,1119,81,7.238605898123325,1038
6,2020-03-07,475,36,7.578947368421053,439
7,2020-03-08,483,49,10.144927536231885,434
8,2020-03-09,610,37,6.065573770491803,573
9,2020-03-10,804,57,7.08955223880597,747
10,2020-03-11,1108,101,9.115523465703971,1007
11,2020-03-12,1438,145,10.083449235048679,1293
12,2020-03-13,2524,242,9.58795562599049,2282
13,2020-03-14,2171,179,8.245048364808843,1992
14,2020-03-15,1269,177,13.947990543735225,1092
15,2020-03-16,1892,268,14.16490486257928,1624
16,2020-03-17,2255,434,19.246119733924612,1821
17,2020-03-18,2714,494,18.201915991156962,2220
18,2020-03-19,3395,725,21.354933726067745,2670
19,2020-03-20,3120,805,25.801282051282055,2315
20,2020-03-21,2276,648,28.471001757469246,1628
21,2020-03-22,1414,423,29.915134370579917,991
22,2020-03-23,3322,1115,33.56411800120409,2207
23,2020-03-24,3975,1331,33.484276729559745,2644
24,2020-03-25,4282,1358,31.71415226529659,2924
25,2020-03-26,4363,1424,32.63809305523722,2939
26,2020-03-27,4930,1535,31.135902636916835,3395
27,2020-03-28,3850,1286,33.4025974025974,2564
28,2020-03-29,2419,828,34.22902025630426,1591
29,2020-03-30,4101,1307,31.870275542550598,2794
30,2020-03-31,6432,1913,29.741915422885572,4519
31,2020-04-01,5891,1639,27.822101510779156,4252
32,2020-04-02,6088,1657,27.217477003942182,4431
33,2020-04-03,6718,1898,28.252456088121463,4820
34,2020-04-04,5368,1497,27.88748137108793,3871
35,2020-04-05,3828,925,24.16405433646813,2903
36,2020-04-06,5840,1447,24.777397260273972,4393
37,2020-04-07,7509,1933,25.742442402450394,5576
38,2020-04-08,7972,1721,21.588058203712997,6251
39,2020-04-09,8224,1864,22.66536964980545,6360
40,2020-04-10,8537,1833,21.471242825348483,6704
41,2020-04-11,8148,1542,18.924889543446245,6606
42,2020-04-12,7287,1404,19.267188143268836,5883
43,2020-04-13,6698,1146,17.109584950731563,5552
44,2020-04-14,8163,1421,17.407815754012006,6742
45,2020-04-15,10984,1932,17.589220684632192,9052
46,2020-04-16,10742,1494,13.908024576428971,9248
47,2020-04-17,11300,1586,14.035398230088495,9714
48,2020-04-18,10312,1431,13.877036462373935,8881
49,2020-04-19,7200,807,11.208333333333332,6393
50,2020-04-20,11916,1510,12.672037596508895,10406
51,2020-04-21,10878,1003,9.220444934730649,9875
52,2020-04-22,15588,1484,9.520143700282269,14104
53,2020-04-23,17379,1145,6.588411300995454,16234
54,2020-04-24,19068,1013,5.312565554856303,18055
55,2020-04-25,17193,792,4.606525911708253,16401
56,2020-04-26,13879,533,3.8403343180344405,13346
57,2020-04-27,17472,715,4.092261904761905,16757
58,2020-04-28,20371,798,3.917333464238378,19573
59,2020-04-29,22660,706,3.115622241835834,21954
60,2020-04-30,24870,691,2.7784479292320063,24179
61,2020-05-01,23551,442,1.8767780561334977,23109
62,2020-05-02,16482,388,2.3540832423249607,16094
63,2020-05-03,13430,286,2.129560685033507,13144
64,2020-05-04,23199,523,2.2544075175654124,22676
65,2020-05-05,21521,737,3.424562055666558,20784
66,2020-05-06,20762,696,3.352278200558713,20066
67,2020-05-07,22031,647,2.936770913712496,21384
68,2020-05-08,25882,680,2.6273085542075574,25202
69,2020-05-09,21012,473,2.2510946126023224,20539
70,2020-05-10,12301,368,2.991626697016503,11933
71,2020-05-11,11055,341,3.084577114427861,10714
72,2020-05-12,20515,558,2.7199610041433098,19957
73,2020-05-13,23140,512,2.2126188418323247,22628
74,2020-05-14,20263,451,2.2257316290776292,19812
75,2020-05-15,20884,506,2.4229074889867843,20378
76,2020-05-16,14425,330,2.2876949740034664,14095
77,2020-05-17,10103,191,1.8905275660694842,9912
78,2020-05-18,10710,269,2.511671335200747,10441
79,2020-05-19,16701,463,2.772289084485959,16238
80,2020-05-20,18759,438,2.3348792579561812,18321
81,2020-05-21,9878,234,2.3689005871633935,9644
82,2020-05-22,13278,330,2.4853140533212836,12948
83,2020-05-23,9227,311,3.37054297171345,8916
84,2020-05-24,7022,193,2.748504699515807,6829
85,2020-05-25,9982,211,2.11380484872771,9771
86,2020-05-26,16225,384,2.3667180277349766,15841
87,2020-05-27,17772,290,1.6317803286067973,17482
88,2020-05-28,13090,236,1.8029029793735676,12854
89,2020-05-29,13616,251,1.8434195064629848,13365
90,2020-05-30,9729,183,1.8809744064138143,9546
91,2020-05-31,6795,123,1.8101545253863136,6672
92,2020-06-01,5438,88,1.6182420007355647,5350
93,2020-06-02,10656,142,1.3325825825825826,10514
94,2020-06-03,14800,243,1.6418918918918917,14557
95,2020-06-04,12842,268,2.0869023516586203,12574
96,2020-06-05,13083,210,1.6051364365971106,12873
97,2020-06-06,11865,177,1.4917825537294565,11688
98,2020-06-07,7307,98,1.3411796907075408,7209
99,2020-06-08,11013,160,1.4528284754381187,10853
100,2020-06-09,15085,194,1.2860457408021213,14891
101,2020-06-10,14326,166,1.1587323747033367,14160
102,2020-06-11,13941,175,1.2552901513521268,13766
103,2020-06-12,13743,151,1.0987411773266391,13592
104,2020-06-13,12521,127,1.0142959827489817,12394
105,2020-06-14,6245,51,0.8166533226581264,6194
106,2020-06-15,11905,101,0.8483830323393532,11804
107,2020-06-16,15194,166,1.0925365275766752,15028
108,2020-06-17,15312,161,1.0514629049111808,15151
109,2020-06-18,13959,156,1.1175585643670751,13803
110,2020-06-19,13395,145,1.0824934677118327,13250
111,2020-06-20,12534,119,0.9494175841710547,12415
112,2020-06-21,6602,46,0.6967585580127235,6556
113,2020-06-22,11129,84,0.7547847964776709,11045
114,2020-06-23,17383,191,1.098774664902491,17192
115,2020-06-24,18466,150,0.8123036932741254,18316
116,2020-06-25,15202,123,0.8091040652545718,15079
117,2020-06-26,14554,175,1.2024185790847877,14379
118,2020-06-27,10950,90,0.821917808219178,10860
119,2020-06-28,6184,56,0.9055627425614489,6128
120,2020-06-29,11992,83,0.6921280853902602,11909
121,2020-06-30,16062,129,0.8031378408666418,15933
122,2020-07-01,15172,155,1.0216187714210387,15017
123,2020-07-02,13607,125,0.9186448151686631,13482
124,2020-07-03,12376,124,1.0019392372333549,12252
125,2020-07-04,10003,115,1.1496551034689595,9888
126,2020-07-05,5800,43,0.7413793103448276,5757
127,2020-07-06,10721,85,0.7928364891334763,10636
128,2020-07-07,13924,111,0.7971847170353347,13813
129,2020-07-08,13859,161,1.1616999783534165,13698
130,2020-07-09,12535,147,1.1727163940965297,12388
131,2020-07-10,12022,133,1.1063051073032772,11889
132,2020-07-11,9290,127,1.3670613562970937,9163
133,2020-07-12,5622,66,1.1739594450373532,5556
134,2020-07-13,10241,134,1.3084659701201053,10107
135,2020-07-14,15070,202,1.340411413404114,14868
136,2020-07-15,16354,278,1.6998899351840526,16076
137,2020-07-16,14479,284,1.9614614268941226,14195
138,2020-07-17,13993,281,2.008146930608161,13712
139,2020-07-18,10449,257,2.459565508661116,10192
140,2020-07-19,6279,161,2.564102564102564,6118
141,2020-07-20,11901,236,1.9830266364171079,11665
142,2020-07-21,11987,364,3.036623008258947,11623
143,2020-07-22,13283,207,1.5583828954302492,13076
144,2020-07-23,18285,409,2.236806125239267,17876
